AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
14,1,1,12000,0,2,2,3,2,4,2,3,0,1,1,0
30,1,1,20000,0,2,1,0,1,4,1,3,0,1,1,0
8,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
7,0,1,3000,1,1,3,1,4,4,1,3,0,0,1,0
21,1,1,4700,0,1,1,1,1,2,1,0,0,0,0,1
18,0,1,8000,0,1,0,3,1,4,1,0,1,1,1,0
4,0,1,4000,1,0,3,1,3,2,2,0,1,1,1,0
4,0,0,0,1,2,1,2,0,0,1,3,1,1,1,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
12,0,1,4500,0,0,3,1,0,3,1,0,0,0,1,0
10,0,1,5600,1,0,3,2,1,0,1,0,0,1,0,0
30,1,1,8000,0,0,1,1,1,4,1,0,0,0,0,1
30,0,1,3000,0,2,1,3,1,4,0,0,1,0,0,0
5,1,1,0,1,1,3,5,0,2,1,0,0,0,1,0
5,1,0,0,1,1,1,5,1,0,1,0,0,0,1,0
29,1,1,10000,0,1,2,4,0,4,1,0,0,0,1,0
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
11,1,1,5200,1,1,1,1,1,4,2,3,1,1,0,1
12,1,1,3000,1,0,1,5,1,0,1,0,0,0,0,0
6,1,0,1200,1,1,1,5,0,3,0,0,0,0,1,1
7,1,1,4500,1,0,3,5,0,2,1,3,0,1,1,1
24,0,1,5000,0,0,0,1,0,4,1,0,0,0,0,1
7,1,0,0,0,0,2,5,0,4,1,2,0,0,0,1
5,1,0,1900,1,0,0,5,0,0,0,1,0,0,0,1
16,1,1,16000,0,1,1,3,1,2,1,3,1,1,0,1
12,1,1,3000,1,0,2,5,0,2,0,0,0,0,1,1
20,1,1,10000,0,2,2,0,3,3,2,3,0,0,0,0
6,1,0,0,1,0,2,5,0,4,0,0,0,0,0,1
5,0,0,500,1,0,1,5,2,4,0,4,0,0,0,0
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
2,0,0,0,1,0,1,1,0,4,1,3,0,1,1,0
15,0,1,23674,0,0,1,3,2,3,1,2,0,0,1,0
6,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
12,0,1,3800,1,1,1,1,1,2,0,1,0,0,1,0
8,0,1,5420,1,0,2,2,1,0,0,0,0,1,1,1
6,1,0,1000,1,0,1,5,1,3,1,2,0,0,0,1
10,1,1,2500,0,0,1,5,1,3,0,0,0,0,0,0
26,0,1,7000,1,0,1,5,1,4,1,1,1,1,1,1
14,0,1,5600,0,1,1,1,1,2,1,0,0,0,0,0
14,0,1,4500,1,2,3,3,3,1,2,3,1,1,1,0
6,1,1,3500,1,1,1,2,4,3,1,0,0,0,1,0
8,1,0,1200,1,0,2,5,1,4,1,2,0,0,0,1
8,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0
24,1,1,8000,0,1,1,0,2,2,2,3,1,1,1,0
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
6,0,0,0,1,0,1,5,0,0,0,2,0,0,0,0
5,1,0,1500,1,1,2,5,1,3,0,2,0,0,0,1
6,0,1,400,1,1,1,2,1,4,0,0,0,0,1,0
12,1,1,4500,1,0,0,1,0,4,0,0,1,1,1,1
5,1,0,1000,1,0,1,1,1,2,1,2,0,0,0,1
6,1,1,3000,1,1,0,4,1,3,0,1,0,1,0,0
19,0,1,3429,0,1,0,5,2,3,2,0,1,0,1,0
7,1,0,0,1,0,1,5,1,4,0,0,0,0,0,1
7,1,0,0,1,0,0,5,1,0,0,2,0,0,0,1
18,1,1,4500,0,0,1,1,1,4,0,3,0,0,0,1
5,1,0,0,1,1,3,5,0,0,0,0,0,0,0,1
5,1,0,0,0,0,2,5,0,4,0,0,0,0,0,1
5,1,0,1000,1,0,1,5,0,2,1,2,0,0,0,1
11,0,1,8000,0,2,1,4,1,4,1,3,0,1,0,1
20,0,1,4400,0,1,0,3,2,2,1,3,0,1,0,0
8,1,0,1300,1,0,0,5,0,0,0,0,0,0,0,1
29,1,1,5600,0,0,2,1,3,0,0,0,0,1,1,1
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
7,1,1,580,1,0,2,5,1,4,0,2,0,0,1,1
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
10,1,1,3000,1,0,1,5,0,4,1,0,0,0,0,0
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
14,0,1,6000,0,0,1,1,1,0,1,1,0,0,1,1
29,1,1,5000,0,0,1,2,1,4,1,0,0,0,1,0
37,0,1,0,0,0,1,2,1,4,0,0,0,0,0,0
16,1,1,3100,0,0,1,5,2,2,0,0,0,0,0,1
0,0,1,0,1,2,0,0,1,3,0,3,1,1,1,0
12,1,1,6500,1,1,1,3,1,3,0,3,1,1,0,1
11,1,1,3500,1,0,0,1,1,0,0,3,0,1,1,0
7,1,0,2000,1,0,1,5,0,2,0,2,0,0,0,1
24,0,1,29000,0,0,3,3,2,2,1,0,1,1,1,0
35,0,1,3000,0,0,1,5,0,4,0,0,0,0,1,0
18,1,1,6000,0,1,1,1,1,4,0,0,1,0,1,0
9,0,0,1500,1,0,2,5,0,4,0,1,0,0,0,1
5,0,0,150,1,0,3,1,1,4,0,0,0,0,0,0
3,1,0,800,1,0,1,5,2,1,1,1,0,0,1,1
6,1,0,0,1,0,1,5,0,4,1,0,0,0,0,0
8,0,1,3000,0,1,3,5,0,2,2,0,0,0,0,0
5,1,0,0,1,1,1,5,0,0,1,0,0,0,0,0
6,1,0,1000,1,0,3,5,0,2,0,0,0,0,1,1
12,1,1,2500,0,0,1,5,0,2,0,0,0,0,0,0
4,1,0,800,1,0,3,5,0,1,0,1,1,1,0,0
17,1,1,7800,0,2,3,4,0,2,0,2,0,1,1,1
7,1,1,1500,1,0,2,1,3,1,0,0,0,0,0,1
3,0,1,1600,1,0,1,5,0,2,1,1,0,1,0,1
2,1,1,300,1,2,2,4,0,0,0,2,0,1,1,1
5,0,0,0,1,1,0,5,0,4,1,0,0,0,0,0
30,0,1,0,0,1,1,3,1,4,0,3,1,1,1,0
5,1,1,500,1,2,2,0,2,2,0,0,0,1,0,0
6,0,1,0,1,0,2,4,1,0,0,0,0,1,1,0
